key_hex,key_decoded,value_double,value_int_if_integer,state_type
01000000000580054B162E00,byte:1,22.0,22,count_or_avg
01000000000580054B192E00,byte:1,25.0,25,count_or_avg
01000000000580054B3D2E00,byte:1,61.0,61,count_or_avg
01000000000580054B502E00,byte:1,80.0,80,count_or_avg
01000000000580054BAD2E00,byte:1,173.0,173,count_or_avg
03000000000580054B952E00,byte:3,149.0,149,count_or_avg
03000000000580054BAC2E00,byte:3,172.0,172,count_or_avg
03000000000580054BBA2E00,byte:3,186.0,186,count_or_avg
04000000000580054BB82E00,byte:4,184.0,184,count_or_avg
05000000000580054B092E00,byte:5,9.0,9,count_or_avg
05000000000580054B152E00,byte:5,21.0,21,count_or_avg
05000000000580054B892E00,byte:5,137.0,137,count_or_avg
06000000000580054B0E2E00,byte:6,14.0,14,count_or_avg
06000000000580054B482E00,byte:6,72.0,72,count_or_avg
06000000000580054B7C2E00,byte:6,124.0,124,count_or_avg
07000000000580054BA42E00,byte:7,164.0,164,count_or_avg
08000000000580054B742E00,byte:8,116.0,116,count_or_avg
09000000000580054B362E00,byte:9,54.0,54,count_or_avg
0A000000000580054B3A2E00,byte:10,58.0,58,count_or_avg
0A000000000580054B4F2E00,byte:10,79.0,79,count_or_avg
0A000000000580054B872E00,byte:10,135.0,135,count_or_avg
0C000000000580054B1A2E00,byte:12,26.0,26,count_or_avg
0D000000000580054B132E00,byte:13,19.0,19,count_or_avg
0D000000000580054B302E00,byte:13,48.0,48,count_or_avg
0D000000000580054B5F2E00,byte:13,95.0,95,count_or_avg
0D000000000580054B7F2E00,byte:13,127.0,127,count_or_avg
0E000000000580054B042E00,byte:14,4.0,4,count_or_avg
0E000000000580054B072E00,byte:14,7.0,7,count_or_avg
0E000000000580054B2B2E00,byte:14,43.0,43,count_or_avg
0F000000000580054B702E00,byte:15,112.0,112,count_or_avg
11000000000580054B612E00,byte:17,97.0,97,count_or_avg
11000000000580054BAE2E00,byte:17,174.0,174,count_or_avg
12000000000580054B9B2E00,byte:18,155.0,155,count_or_avg
12000000000580054BC62E00,byte:18,198.0,198,count_or_avg
13000000000580054B082E00,byte:19,8.0,8,count_or_avg
